"id","mjd","mag","magerr","limiting_mag","filter","flux","fluxerr"
804072457,61121.300162000116,19.91234854274416,0.18421251426212323,19.6075,ztfr,39.36049784532413,6.678138058692893
804095692,61121.300162000116,19.90411170354684,0.1817002610713422,20.097608614354908,ztfr,39.660238229662546,6.637225146311356
804095691,61121.300162000116,,,19.60750066141666,ztfr,,52.119439360000115
803290460,61121.300162000116,,,19.607500076293945,ztfr,,52.119467448108296
804095694,61121.31626159977,19.729722585167483,0.09915583096825153,20.580812728110427,ztfg,46.57050699279062,4.253093246081465
804072458,61121.31626159977,19.715994327688353,0.09796280051859689,20.0888,ztfg,47.16309192782481,4.255387769255611
803635430,61121.31626159977,19.69949949229917,0.1754480004310608,19.931014224003235,ztfg,47.88507843017575,7.737921259547968
804095693,61121.31626159977,19.699455655456116,0.17544800428174526,19.93097036333074,ztfg,47.88701184,7.738233856
803290461,61121.31626159977,19.69945564090717,0.17544800043106076,19.930970372611235,ztfg,47.8870124816895,7.738233789856278
804515559,61122.22549769981,18.912016599105634,0.03685660203549567,20.445,ztfr,98.89933248380136,3.3572550339183516
804095441,61122.22549769981,18.902809274764117,0.036361625081091704,20.84308685245459,ztfr,99.7415906854064,3.3403752307425303
803635616,61122.22549769981,18.90280889329439,0.0363616250810917,20.843086470984865,ztfr,99.74162572928142,3.3403764043722197
803637395,61122.22549769981,18.89221381932815,0.1343966573476791,19.41312844022455,ztfr,100.71971130371095,12.467478259378408
803635433,61122.22549769981,18.89220074274046,0.1343970000743866,19.413112594890023,ztfr,100.72092437744142,12.467660212236215
804095440,61122.22549769981,18.8922007174885,0.13439700328447993,19.413112543705086,ztfr,100.72092672000016,12.467660800000019
804095621,61122.22597219981,18.85148236418248,0.08599943038363635,19.857129216503985,ztfr,104.56998707199989,8.282821631999992
805073569,61123.31805559993,,,19.786100844204025,ztfi,,44.213985279999996
804991045,61123.31805559993,,,19.786100387573242,ztfi,,44.21400387518995
804360980,61123.41424679989,18.168088067715846,0.07129862110171076,19.933998950358227,sdssr,196.22971491954786,12.886102564906484
804364016,61123.41424679989,18.132181565871974,0.038906947652274135,19.99899945334413,sdssr,202.82775031076991,7.2682559807680285
804365004,61123.41692729993,18.42431091331712,0.03829845568649724,21.387557445092263,sdssi,154.97999219066105,5.466792336108915
804365653,61123.41692729993,18.299726485167685,0.03866070071285795,20.173437971227315,sdssi,173.82386645468415,6.1894891671714936
804582637,61123.41692729993,18.299726485167685,0.03924881242302902,20.157045972888895,sdssi,173.82386645468415,6.2836444978321175
804519356,61124.13762720022,17.977295253678307,0.03678897822877545,20.634066058216522,sdssr,233.9278334272162,7.926387582309303
804519282,61124.13762720022,17.81329152019757,0.04162794804061125,19.606714799763765,sdssr,272.07171357566716,10.431435468775765
804543629,61124.17644809978,17.906346334214152,0.04152479534167236,21.225285681663173,sdssr,249.72468058815167,9.550907676968903
804543508,61124.17644809978,17.836759983003255,0.03632395033675977,19.77816308903561,sdssr,266.25391771892816,8.907683138690743
804548398,61124.17912939982,18.012635910126953,0.039908616525065714,21.77191835561603,sdssi,226.43608420231737,8.323155120244795
804548503,61124.179129399825,17.93493622222205,0.04151389933236843,19.73133819165922,sdssi,243.23468845924126,9.30025205624086
804582682,61124.179129399825,17.93493622222205,0.04175379544787541,19.72508211313273,sdssi,243.23468845924126,9.353995365768721
804576390,61124.22189390007,18.466931186131653,0.03507403438166055,21.067577627766184,sdssr,149.01415538391902,4.813809824508894
804578546,61124.221893900074,17.835791096410578,0.03229405324621451,19.904870492996857,sdssr,266.49162277793766,7.9265061052081425
804578534,61124.22457600012,18.02907369272432,0.052209680778770126,21.848557753632726,sdssi,223.03371734334877,10.724998516552875
804582882,61124.224576000124,17.94704657653093,0.043393148109003826,19.695379468878848,sdssi,240.53671159644048,9.61342645314318
804585096,61124.22740249988,17.682799917636146,0.18940814380498347,17.831189086670662,sdssr,306.81743361739507,53.52471469018166
805049257,61125.21126159979,17.614599638668096,0.04901700094342232,19.230618588129836,ztfr,326.7082824707028,14.74967871561199
805073570,61125.21126159979,17.61457105744493,0.049017027145347655,19.23058942652903,ztfr,326.71688294400013,14.750074880000007
804991046,61125.21126159979,17.61457103922154,0.0490170232951641,19.23058949358792,ztfr,326.71688842773426,14.750073968983461
805004485,61125.25286820019,,,16.9,sdssr,,630.9573444801937
805049258,61125.26905089989,17.840105413914365,0.08755657076835631,18.826269343765805,ztfi,265.4347839355472,21.405346291471812
805073571,61125.26905089989,17.84010538118926,0.08755657446342921,18.82626926522033,ztfi,265.434791936,21.40534784
805073577,61125.26905089989,17.840099422124286,0.08755700290203094,18.826257993359988,ztfi,265.4362487792972,21.405570066488217
805073572,61125.26905089989,17.831692021473845,0.038342682148279066,19.714371587106918,ztfi,267.49963354782807,9.446726911156459
805049720,61125.28764359979,17.6213300859153,0.04893015693629281,19.785570760526532,sdssr,324.6892916004067,14.632558004345839
805049716,61125.28764359979,17.542571378377666,0.02950558905919259,19.709696443823823,sdssr,349.1173630799958,9.487491900265072
805050677,61125.29032849986,17.828255196168097,0.04370954389052534,21.53555375557577,sdssi,268.34772732237735,10.803136815294042
805050593,61125.29032849986,17.677900140637988,0.03408764568482444,19.68829341209259,sdssi,308.20518718184144,9.676373665019337
