Times,Fluxes,FluxErrs,Filt,Freqs
5040.0,0.06982324040771676,0.003215479050146963,L,545000000000000.0
17208.0,0.014321878992735395,0.0044849189298378465,L,545000000000000.0
35244.0,0.007244359600749891,0.0006672301769990001,r,484000000000000.0
30114.0,0.00794328234724279,0.0005121223386217122,r,484000000000000.0
30114.0,0.007870457896950936,0.0011598335378276159,z,346000000000000.0
22500.0,0.014454397707459281,0.0013312992275761222,C,545000000000000.0
6157.2,0.07798301105232514,0.007182500750234952,r',486000000000000.0
7255.8,0.06025595860743593,0.004994800993927738,r',486000000000000.0
6156.0,0.05152286445817562,0.0023727155929949588,VT_B,545000000000000.0
6084.0,0.09120108393559116,0.00419996512669982,VT_R,363000000000000.0
7560.0,5.46e-04,5.9967e-06,X-ray(10keV),2.41799E+17
483840.0,3.49e-02,8e-06,radio(10GHz),1E+10
